Shipment_ID,Origin,Destination,Transport_Mode,Distance_km,Shipment_Volume_kg,Traffic_Level,Weather,Priority,Warehouse_Delay_hours,Transportation_Cost_INR,Delivery_Time_days
SHP20001,Bangalore,Coimbatore,Road,427,72,6,Clear,Standard,1.77,1418.89,7.08
SHP20002,Chennai,Hyderabad,Sea,168,427,1,Rain,Standard,2.46,501.0,10.49
SHP20003,Mumbai,Hyderabad,Rail,239,354,5,Clear,Standard,0.13,443.41,6.44
SHP20004,Bangalore,Pune,Rail,419,41,9,Clear,Urgent,0.24,1068.32,5.37
SHP20005,Chennai,Chennai,Road,1851,49,5,Clear,Standard,1.8,4042.64,8.08
SHP20006,Hyderabad,Bangalore,Road,701,210,6,Rain,Standard,0.7,1719.68,6.24
SHP20007,Delhi,Chennai,Road,1932,279,8,Clear,Standard,0.46,4800.05,7.21
SHP20008,Chennai,Delhi,Air,1561,224,1,Rain,Standard,0.1,9504.06,5.3
SHP20009,Hyderabad,Bangalore,Rail,819,78,2,Clear,Urgent,0.05,1162.65,4.71
SHP20010,Chennai,Kochi,Rail,830,490,9,Clear,Standard,1.94,2027.16,9.57
SHP20011,Delhi,Kochi,Road,1766,283,3,Clear,Standard,0.34,3910.89,6.43
SHP20012,Delhi,Coimbatore,Sea,1361,485,6,Storm,Standard,1.17,1355.54,12.85
SHP20013,Bangalore,Kochi,Air,1299,31,5,Rain,Standard,1.51,8050.6,5.73
SHP20014,Mumbai,Hyderabad,Road,572,138,2,Storm,Standard,1.07,1234.6,7.4
SHP20015,Chennai,Chennai,Road,571,434,7,Clear,Standard,0.07,1991.85,4.83
SHP20016,Chennai,Kochi,Road,832,481,4,Clear,Standard,1.96,2274.7,7.95
SHP20017,Hyderabad,Mumbai,Road,985,309,1,Rain,Standard,0.03,2306.73,5.68
SHP20018,Delhi,Pune,Road,1738,357,4,Clear,Standard,1.9,3675.24,7.65
SHP20019,Chennai,Mumbai,Road,537,267,6,Rain,Standard,2.23,1466.79,8.18
