Shipment_ID,Origin,Destination,Transport_Mode,Zone,Shipment_Volume_kg,Distance_km,Delivery_Time_days,Transportation_Cost_INR,On_Time
SHP10001,Hyderabad,Kochi,Rail,South,322,1439,6.78,2888.72,Yes
SHP10002,Mumbai,Delhi,Road,South,31,656,5.77,855.33,Yes
SHP10003,Chennai,Delhi,Road,West,337,215,3.0,1235.53,Yes
SHP10004,Hyderabad,Coimbatore,Air,East,99,1617,4.13,10170.85,No
SHP10005,Hyderabad,Kochi,Rail,East,235,2108,8.72,2745.95,No
SHP10006,Mumbai,Chennai,Road,South,358,1374,6.21,2666.58,Yes
SHP10007,Chennai,Coimbatore,Sea,South,283,778,8.39,834.92,Yes
SHP10008,Chennai,Hyderabad,Air,North,498,2093,5.62,13835.13,No
SHP10009,Hyderabad,Coimbatore,Sea,North,168,151,4.53,250.0,Yes
SHP10010,Bangalore,Bangalore,Rail,South,100,1465,7.43,2579.34,No
SHP10011,Hyderabad,Chennai,Rail,North,234,828,5.12,841.86,Yes
SHP10012,Hyderabad,Bangalore,Road,North,393,263,2.17,912.99,Yes
SHP10013,Hyderabad,Kochi,Sea,South,483,1161,9.3,991.84,Yes
SHP10014,Hyderabad,Pune,Air,South,217,1626,5.28,10473.96,No
SHP10015,Mumbai,Bangalore,Road,East,219,1745,6.15,4123.72,Yes
SHP10016,Chennai,Hyderabad,Road,South,44,641,5.54,1235.67,Yes
SHP10017,Mumbai,Coimbatore,Road,South,485,1383,7.34,2382.56,No
SHP10018,Mumbai,Pune,Air,West,108,1159,4.5,7408.35,No
SHP10019,Mumbai,Coimbatore,Sea,East,287,2189,12.01,2365.66,No
SHP10020,Hyderabad,Bangalore,Road,East,162,763,5.52,1875.96,Yes
SHP10021,Bangalore,Coimbatore,Rail,East,78,985,6.09,1816.41,Yes
SHP10022,Chennai,Kochi,Road,West,429,2001,5.08,4151.93,Yes
SHP10023,Bangalore,Pune,Sea,South,384,291,7.2,753.56,Yes
SHP10024,Mumbai,Kochi,Air,East,45,2093,3.78,13448.74,Yes
SHP10025,Mumbai,Bangalore,Air,East,66,51,3.65,250.0,Yes
SHP10026,Bangalore,Kochi,Road,North,307,1818,6.22,4169.76,Yes
SHP10027,Bangalore,Hyderabad,Road,East,285,1999,6.8,4250.98,No
SHP10028,Bangalore,Bangalore,Road,South,35,967,5.64,2034.46,Yes
SHP10029,Mumbai,Bangalore,Road,South,218,139,3.86,623.12,Yes
